,partition
970,512
971,1644
972,750
973,445
974,17
975,513
976,2108
977,74
978,2304
979,1754
980,774
981,438
982,1048
983,104
984,439
985,440
986,1863
987,1766
988,1096
989,42
990,1775
991,443
992,743
993,1618
994,606
995,1793
996,9
997,253
998,165
999,436
1000,376
1001,44
1002,739
1003,84
1004,107
1005,317
1006,1537
1007,336
1008,2016
1009,2716
1010,2017
1011,2018
1012,2019
1013,1451
1014,2438
1015,80
1016,2020
1017,2021
1018,1451
1019,2
1020,780
1021,226
1022,2022
1023,546
1024,16
1025,364
1026,71
1027,15
1028,2060
1029,16
1030,72
1031,300
1032,73
1033,2745
1034,74
1035,784
1036,2
1037,75
1038,120
1039,211
1040,1963
1041,2250
1042,1964
1043,1965
1044,1966
1045,1967
1046,1968
1047,2062
1048,2192
1049,1969
1050,1970
1051,2069
1052,1971
1053,2090
1054,1972
1055,2064
1056,1078
1057,1434
1058,381
1059,1
1060,2834
1061,826
1062,360
1063,1201
1064,1812
1065,382
1066,61
1067,1569
1068,383
1069,741
1070,384
1071,1375
1072,1596
1073,642
1074,491
1075,2
1076,2732
1077,985
1078,2
1079,2458
1080,33
1081,268
1082,2
1083,269
1084,139
1085,33
1086,1954
1087,290
1088,207
1089,18
1090,1341
1091,1
1092,208
1093,610
1094,285
1095,987
1096,609
1097,2309
1098,209
1099,2087
1100,65
1101,15
1102,210
1103,2802
1104,613
1105,614
1106,615
1107,38
1108,1063
1109,2610
1110,616
1111,832
1112,189
1113,2519
1114,617
1115,2
1116,618
1117,619
1118,620
1119,374
1120,2109
1121,33
1122,2110
1123,2111
1124,2112
1125,758
1126,2533
1127,2113
1128,47
1129,2114
1130,1598
1131,2115
1132,999
1133,2116
1134,2117
1135,2118
1136,225
1137,2
1138,1398
1139,226
1140,251
1141,227
1142,1364
1143,228
1144,47
1145,771
1146,2434
1147,229
1148,230
1149,1454
1150,295
1151,231
1152,47
1153,2271
1154,2272
1155,2
1156,61
1157,2273
1158,2274
1159,2824
1160,16
1161,2275
1162,2276
1163,1
1164,26
1165,2277
1166,47
1167,4
1168,1679
1169,1759
1170,1680
1171,1681
1172,1682
1173,1756
1174,1683
1175,1684
1176,17
1177,1685
1178,2620
1179,1686
1180,2
1181,1687
1182,1688
1183,1689
1184,2581
1185,4
1186,51
1187,68
1188,709
1189,924
1190,2518
1191,325
1192,925
1193,15
1194,16
1195,53
1196,1621
1197,926
1198,2187
1199,2
1200,2736
1201,1724
1202,2
1203,1725
1204,1726
1205,60
1206,2376
1207,1727
1208,33
1209,2428
1210,2
1211,1728
1212,61
1213,61
1214,110
1215,1729
1216,1165
1217,51
1218,2815
1219,927
1220,1014
1221,376
1222,343
1223,60
1224,19
1225,544
1226,345
1227,377
1228,15
1229,2590
1230,1678
1231,843
1232,190
1233,696
1234,97
1235,488
1236,1799
1237,1459
1238,127
1239,1539
1240,1020
1241,605
1242,174
1243,1926
1244,575
1245,265
1246,549
1247,560
1248,61
1249,2482
1250,2483
1251,103
1252,2706
1253,2484
1254,17
1255,2
1256,2485
1257,2486
1258,15
1259,2487
1260,2488
1261,461
1262,15
1263,2489
1264,254
1265,1455
1266,2053
1267,2098
1268,1456
1269,32
1270,2077
1271,1604
1272,1457
1273,1458
1274,1459
1275,1533
1276,11
1277,1460
1278,2370
1279,1461
1280,889
1281,699
1282,244
1283,2711
1284,890
1285,891
1286,1321
1287,1612
1288,1590
1289,892
1290,2295
1291,1664
1292,2
1293,893
1294,894
1295,106
1296,1597
1297,1987
1298,574
1299,2276
1300,1598
1301,1599
1302,1600
1303,1
1304,61
1305,1699
1306,346
1307,1601
1308,1602
1309,2076
1310,1603
1311,1
1312,1837
1313,1838
1314,1839
1315,2498
1316,60
1317,15
1318,1840
1319,51
1320,1841
1321,1842
1322,39
1323,1843
1324,60
1325,1844
1326,252
1327,2
1328,1563
1329,28
1330,1503
1331,1345
1332,1740
1333,827
1334,413
1335,2
1336,646
1337,2463
1338,29
1339,1417
1340,91
1341,1126
1342,1602
1343,30
1344,2
1345,1049
1346,132
1347,1970
1348,60
1349,1050
1350,85
1351,99
1352,1051
1353,15
1354,622
1355,1052
1356,1053
1357,1477
1358,1715
1359,1237
1360,2119
1361,80
1362,2120
1363,2121
1364,16
1365,39
1366,2122
1367,2
1368,15
1369,15
1370,2123
1371,2124
1372,61
1373,2125
1374,2126
1375,2127
1376,2041
1377,15
1378,2042
1379,2043
1380,2664
1381,2044
1382,450
1383,2045
1384,2
1385,2046
1386,4
1387,2
1388,145
1389,2152
1390,2047
1391,2048
1392,15
1393,2368
1394,524
1395,525
1396,1797
1397,526
1398,527
1399,46
1400,528
1401,2001
1402,376
1403,529
1404,530
1405,1543
